_id	datetime	datetime_from	datetime_to	destination_port_name	event	source_id	source_name	time_in_port	vessel_callsign	vessel_flag	vessel_imo	vessel_length	vessel_mmsi	vessel_name	vessel_type
5cac9963c81d023d283653d9	20/03/2019 13:27			Singapore	Arrival	1	vesseltracker				9830472	33	563060200	PSA THOR	tug
5cac9963c81d023d283653da	20/03/2019 13:26				Arrival	1	vesseltracker				9711080	90	563028450	SEA ABUNDANCE	oil_and_chemical_tanker>oil_products_tanker
5cac9963c81d023d283653db	20/03/2019 13:24				Arrival	1	vesseltracker				9316725	25	563006410	NOBLE KNIGHT	tug
5cac9963c81d023d283653dc	20/03/2019 13:24				Departure	1	vesseltracker					10	563040344	SC 4774D	
5cac9963c81d023d283653dd	20/03/2019 13:24				Departure	1	vesseltracker					0	563066740	KSE SPEEDER	
5cac9963c81d023d283653de	20/03/2019 13:24				Departure	1	vesseltracker					10	563041224	SC8228J	
5cac9963c81d023d283653df	20/03/2019 13:22				Departure	1	vesseltracker				8717257	30	563023490	EVER JOYCE	service_ship
5cac9963c81d023d283653e0	20/03/2019 13:21				Arrival	1	vesseltracker				9727338	31	565951000	RELIANT	tug
5cac9963c81d023d283653e1	20/03/2019 13:21			Hong Kong	Arrival	1	vesseltracker				9238181	200	564640000	WAN HAI 305	container_ship
5cac9963c81d023d283653e2	20/03/2019 13:20				Arrival	1	vesseltracker					10	563040775	CAST ELEGANCE	
5cac9963c81d023d283653e3	20/03/2019 13:19				Arrival	1	vesseltracker				9456484	26	563009850	NOBLE VALOUR	tug
5cac9963c81d023d283653e4	20/03/2019 13:19				Arrival	1	vesseltracker					10	563040786	CAST INNOVATION	
5cac9963c81d023d283653e5	20/03/2019 13:19				Arrival	1	vesseltracker				9386055	28	563009030	NOBLE JADE   TG40	tug
5cac9963c81d023d283653e6	20/03/2019 13:18				Arrival	1	vesseltracker					10	563046240	MERLIMAU TRANSPORTER	
5cac9963c81d023d283653e7	20/03/2019 13:18				Departure	1	vesseltracker					28	563016950	SEA HAWK	passenger_ship
5cac9963c81d023d283653e8	20/03/2019 13:18				Arrival	1	vesseltracker					80	566013400	INDOMITABLE	
5cac9963c81d023d283653e9	20/03/2019 13:18			Singapore	Departure	1	vesseltracker				9504217	120	566843000	BOW NANGANG	oil_and_chemical_tanker>chemical_oil_products_tanker
5cac9963c81d023d283653ea	20/03/2019 13:17			Singapore	Departure	1	vesseltracker				9352200	182	319282000	STOLT SAGALAND	oil_and_chemical_tanker>chemical_oil_products_tanker
