,_id,country_id,datasource,datetime,destination_ais,destination_port_id,destination_port_name,event,previous_port_id,previous_port_name,source_id,source_name,time_in_port,vessel_callsign,vessel_dwt,vessel_flag,vessel_id,vessel_imo,vessel_length,vessel_mmsi,vessel_name,vessel_type
2279,5cb2544acf504e43d0900419,,,20/03/2019 06:17,,,,Arrival,,,3.0,fleetmon,12h,9V2259,,Flag of Singapore,,9677480.0,52x11m,563283000.0,CLEANSEAS PROGRESS,Oil tanker
2280,5cb2544acf504e43d090041a,,,20/03/2019 18:39,,,,Departure,,,3.0,fleetmon,12h,9V2259,,Flag of Singapore,,9677480.0,52x11m,563283000.0,CLEANSEAS PROGRESS,Oil tanker
2281,5cb2544acf504e43d090041b,,,20/03/2019 06:17,,,,Arrival,,,3.0,fleetmon,0h,9V5214,,Flag of Singapore,,9832157.0,32x13m,563055500.0,KST LIBERTY,Pusher/Tug
2282,5cb2544acf504e43d090041c,,,20/03/2019 06:17,,,,Arrival,,,3.0,fleetmon,1h,9V9908,,Flag of Singapore,,9668855.0,29x11m,566789000.0,PW TERAJU,Pusher/Tug
2283,5cb2544acf504e43d090041d,,,20/03/2019 07:17,,,,Departure,,,3.0,fleetmon,1h,9V9908,,Flag of Singapore,,9668855.0,29x11m,566789000.0,PW TERAJU,Pusher/Tug
2284,5cb2544acf504e43d090041e,,,20/03/2019 06:17,,,,Arrival,,,3.0,fleetmon,1d 5h,9V7079,,Flag of Singapore,,9386093.0,30x10m,563009220.0,NOBLE VEGA,Ship
2285,5cb2544acf504e43d090041f,,,20/03/2019 06:17,,,,Arrival,,,3.0,fleetmon,14h,9V2876,,Flag of Singapore,,9707352.0,33x11m,565554000.0,ROYAL ENERGY,Pusher/Tug
2286,5cb2544acf504e43d0900420,,,20/03/2019 21:13,,,,Departure,,,3.0,fleetmon,14h,9V2876,,Flag of Singapore,,9707352.0,33x11m,565554000.0,ROYAL ENERGY,Pusher/Tug
2287,5cb2544acf504e43d0900421,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,23h,9VAX8,,Flag of Singapore,,9664483.0,90x15m,566736000.0,SEA TANKER II,Oil tanker
2288,5cb2544acf504e43d0900422,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,2h,3FZI2,,Flag of Panama,,9374911.0,127x21m,370764000.0,JBU SCHELDE,Oil tanker
2289,5cb2544acf504e43d0900423,,,20/03/2019 08:46,,,,Departure,,,3.0,fleetmon,2h,3FZI2,,Flag of Panama,,9374911.0,127x21m,370764000.0,JBU SCHELDE,Oil tanker
2290,5cb2544acf504e43d0900424,,,20/03/2019 06:16,,,,Arrival,,,3.0,fleetmon,22h,V7CN3,,No Flag set,,9306159.0,141x25m,537985059.0,LSIUS MANHATTAN,Oil Products Tanker
