_id,country_id,datasource,datetime,destination_ais,destination_port_id,destination_port_name,event,previous_port_id,previous_port_name,source_id,source_name,time_in_port,vessel_callsign,vessel_dwt,vessel_flag,vessel_id,vessel_imo,vessel_length,vessel_mmsi,vessel_name,vessel_type
5cb2544acf504e43d0901ca1,191,AIS,20/03/2019 10:36,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2094681,,20,563027970,DM 55,
5cb2544acf504e43d0901ca2,191,AIS,20/03/2019 10:36,,,,Departure,,,1,vesseltracker,,,,,693308,,30,563019650,SC4465F,general_cargo_ship
5cb2544acf504e43d0901ca3,156,AIS,20/03/2019 10:36,,,,Departure,,,1,vesseltracker,,,,,2269226,,15,542425110,CRYSTAL AURORA,
5cb2544acf504e43d0901ca4,191,AIS,20/03/2019 10:36,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1539663,,18,563023690,DM 66,passenger_ship
5cb2544acf504e43d0901ca5,133,AIS,20/03/2019 10:36,IDSUB,1393,Surabaya,Departure,,,1,vesseltracker,,,24935,,215198,9226839,193,538007828,KOTA JUTA,container_ship
5cb2544acf504e43d0901ca6,191,AIS,20/03/2019 10:36,SINGAPORE,417,Singapore,Departure,,,1,vesseltracker,,,1123,,2025112,9817664,54,563024400,MARINE UNIQUE,service_ship
5cb2544acf504e43d0901ca7,191,AIS,20/03/2019 10:35,,,,Departure,,,1,vesseltracker,,,,,2168983,,0,563033890,SEA CHARTER,
5cb2544acf504e43d0901ca8,191,AIS,20/03/2019 10:35,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1870286,,0,563040065,KENKI 27,
5cb2544acf504e43d0901ca9,141,AIS,20/03/2019 10:34,,,,Departure,417,Singapore,1,vesseltracker,,,,,1984444,,22,457140000,JOLLY   ROYAL,
5cb2544acf504e43d0901caa,191,AIS,20/03/2019 10:34,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2220572,,8,563067320,MAS 147,
5cb2544acf504e43d0901cab,101,AIS,20/03/2019 10:34,,,,Arrival,417,Singapore,1,vesseltracker,,,,,364785,,33,525003047,MARCOPOLO 117,tug
5cb2544acf504e43d0901cac,191,AIS,20/03/2019 10:34,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1717896,,0,563027670,KENKI 28,
5cb2544acf504e43d0901cad,191,AIS,20/03/2019 10:34,,,,Arrival,417,Singapore,1,vesseltracker,,,,,308531,,15,565175000,GP-45,passenger_ship
5cb2544acf504e43d0901cae,191,AIS,20/03/2019 10:33,,,,Departure,,,1,vesseltracker,,,,,2193327,,0,563066150,PRESIDENT ONE,
5cb2544acf504e43d0901caf,191,AIS,20/03/2019 10:33,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1956905,,10,563046240,MERLIMAU TRANSPORTER,
5cb2544acf504e43d0901cb0,163,AIS,20/03/2019 10:33,CNCAN,225,Guangzhou,Departure,1046,Chittagong,1,vesseltracker,,,24316,,250291,9194505,183,354932000,TAICHUNG,container_ship
5cb2544acf504e43d0901cb1,191,AIS,20/03/2019 10:33,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1872026,,0,563040039,KENKI 21,
5cb2544acf504e43d0901cb2,191,AIS,20/03/2019 10:32,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1712781,,0,563027320,SP1400,
5cb2544acf504e43d0901cb3,101,AIS,20/03/2019 10:31,BATAM>SGPORE>BATAM,886,Batam,Departure,,,1,vesseltracker,,,,,283740,8623248,30,525023095,SEA FLYTE,passenger_ship
5cb2544acf504e43d0901cb4,191,AIS,20/03/2019 10:31,,,,Arrival,417,Singapore,1,vesseltracker,,,301,,1699497,9679268,32,563899000,RIGHTEOUS,tug
5cb2544acf504e43d0901cb5,191,AIS,20/03/2019 10:31,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1539374,,22,563023730,DM 77,passenger_ship
5cb2544acf504e43d0901cb6,191,AIS,20/03/2019 10:31,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2226680,,0,566011200,RSS VIGOUR,
5cb2544acf504e43d0901cb7,191,AIS,20/03/2019 10:30,,,,Arrival,417,Singapore,1,vesseltracker,,,350,,296060,9204025,32,564759000,PENGUIN TEKONG,passenger_ship
5cb2544acf504e43d0901cb8,191,AIS,20/03/2019 10:29,SINGAPORE/RFT,417,Singapore,Departure,,,1,vesseltracker,,,15,,281415,9105700,31,563923000,SINDO 9,passenger_ship
5cb2544acf504e43d0901cb9,191,AIS,20/03/2019 10:29,,,,Departure,417,Singapore,1,vesseltracker,,,,,1973572,,10,563043470,UNIDIVE 11,
5cb2544acf504e43d0901cba,191,AIS,20/03/2019 10:29,,,,Departure,,,1,vesseltracker,,,,,1831824,8858946,33,563428000,MARINA PHEVOS,tug
5cb2544acf504e43d0901cbb,191,AIS,20/03/2019 10:28,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2125483,,25,563065310,SEA FOXTROT,
5cb2544acf504e43d0901cbc,163,AIS,20/03/2019 10:28,JOHOR,872,Pasir Gudang,Departure,,,1,vesseltracker,,,1344,,302185,6620773,140,374142000,AMUSEMENT WORLD,passenger_ship
5cb2544acf504e43d0901cbd,191,AIS,20/03/2019 10:28,,,,Departure,417,Singapore,1,vesseltracker,,,,,1898744,,10,563040676,ENG HUP EXPRESS31,
5cb2544acf504e43d0901cbe,191,AIS,20/03/2019 10:27,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1923962,,15,563004794,CKL XIII,
5cb2544acf504e43d0901cbf,191,AIS,20/03/2019 10:27,SINGAPORE,417,Singapore,Departure,,,1,vesseltracker,,,,,280685,8844191,33,564215000,MARINA SWIFT,tug
5cb2544acf504e43d0901cc0,191,AIS,20/03/2019 10:27,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1914310,,10,563041161,SC0542A,
5cb2544acf504e43d0901cc1,191,AIS,20/03/2019 10:27,TANJUNG GEREM,,,Departure,2269,Tanjung Uban,1,vesseltracker,,,44372,,249276,9007752,182,564467000,AKROTIRI,oil_and_chemical_tanker>crude_oil_tanker
5cb2544acf504e43d0901cc2,191,AIS,20/03/2019 10:27,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1887698,,10,563040579,YORK 202,
5cb2544acf504e43d0901cc3,191,AIS,20/03/2019 10:26,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1905792,,10,563040775,CAST ELEGANCE,
5cb2544acf504e43d0901cc4,191,AIS,20/03/2019 10:25,,,,Arrival,417,Singapore,1,vesseltracker,,,,,407629,,25,563013860,GP-45,passenger_ship
5cb2544acf504e43d0901cc5,191,AIS,20/03/2019 10:25,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2193668,,0,563066740,KSE SPEEDER,
5cb2544acf504e43d0901cc6,191,AIS,20/03/2019 10:25,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2201142,,20,563038560,SUPERLITE 88,
5cb2544acf504e43d0901cc7,191,AIS,20/03/2019 10:23,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1886716,,10,563040571,DOVE SURVEY,
5cb2544acf504e43d0901cc8,191,AIS,20/03/2019 10:23,,,,Arrival,417,Singapore,1,vesseltracker,,,,,2190713,,0,563066890,CAST JEWEL,
5cb2544acf504e43d0901cc9,191,AIS,20/03/2019 10:23,,,,Departure,,,1,vesseltracker,,,,,1887827,,10,563040572,YORK96,
5cb2544acf504e43d0901cca,191,AIS,20/03/2019 10:22,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1539912,,22,563023740,DM 111,passenger_ship
5cb2544acf504e43d0901ccb,191,AIS,20/03/2019 10:22,,,,Arrival,2270,Batu Ampar,1,vesseltracker,,,45,,1792237,9732125,39,565518000,HORIZON 8,passenger_ship
5cb2544acf504e43d0901ccc,191,AIS,20/03/2019 10:21,,,,Arrival,417,Singapore,1,vesseltracker,,,31,,1908031,9797101,35,564425000,QUEEN STAR 5,passenger_ship
5cb2544acf504e43d0901ccd,191,AIS,20/03/2019 10:21,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1914312,,0,563037460,E.T.OCEAN 13,
