Cluster ID,confidence_score,_id,country_id,datasource,datetime,destination_ais,destination_port_id,destination_port_name,event,previous_port_id,previous_port_name,source_id,source_name,time_in_port,vessel_callsign,vessel_dwt,vessel_flag,vessel_id,vessel_imo,vessel_length,vessel_mmsi,vessel_name,vessel_type
459,0.723818183,5cb2544acf504e43d0900ccb,,,20/03/2019 22:01,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,BALTIMORE BRIDGE,
460,0.423723698,5cb2544acf504e43d0900cee,,,20/03/2019 21:34,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,MOLA SAIF,
460,0.423723698,5cb2544acf504e43d09018fc,191,AIS,20/03/2019 21:36,,,,Departure,,,1,vesseltracker,,,,,1818769,,33,563030940,MOLA SAIF,
461,0.423723698,5cb2544acf504e43d090215e,191,AIS,20/03/2019 02:54,,,,Departure,,,1,vesseltracker,,,,,1967304,,10,563047080,SEA OSPREY,
461,0.423723698,5cb2544acf504e43d09015fb,,,20/03/2019 02:58,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,SEA OSPREY,
462,0.423723698,5cb2544acf504e43d0901237,,,20/03/2019 08:48,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,ALICE,
462,0.423723698,5cb2544acf504e43d0901dc2,133,AIS,20/03/2019 08:49,,,,Arrival,275,Nantong,1,vesseltracker,,,6116,,308053,9520273,105,538003718,ALICE,oil_and_chemical_tanker>chemical_oil_products_tanker
463,0.423723698,5cb2544acf504e43d0900dab,,,20/03/2019 18:40,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,SEA EAGLE 1,
463,0.423723698,5cb2544acf504e43d09019a8,25,AIS,20/03/2019 18:45,,,,Departure,,,1,vesseltracker,,,,,351518,,24,312918000,SEA EAGLE 1,
464,0.723818183,5cb2544acf504e43d09019ab,191,AIS,20/03/2019 18:39,,,,Departure,,,1,vesseltracker,,,,,1712781,,0,563027320,SP1400,
464,0.723818183,5cb2544acf504e43d0900dae,,,20/03/2019 18:39,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,SP1400,
465,0.723818183,5cb2544acf504e43d09019ae,101,AIS,20/03/2019 18:39,,,,Arrival,417,Singapore,1,vesseltracker,,,,,1092360,9483762,1,525020108,CIPTA JAYA MANDIRI,other>landing_craft
465,0.723818183,5cb2544acf504e43d0900daf,,,20/03/2019 18:39,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,CIPTA JAYA MANDIRI,
466,0.723818183,5cb2544acf504e43d0901d05,191,AIS,20/03/2019 10:03,,,,Arrival,417,Singapore,1,vesseltracker,,,150,,317864,9058256,28,563001380,AN LAI,tug
466,0.723818183,5cb2544acf504e43d090114d,,,20/03/2019 10:03,,,SINGAPORE,Arrival,,,2,myshiptracking,,,,,,,,,AN LAI,
467,0.723818183,5cb2544acf504e43d090160c,,,20/03/2019 02:51,,,SINGAPORE,Departure,,,2,myshiptracking,,,,,,,,,SUN 58,
467,0.723818183,5cb2544acf504e43d0902169,191,AIS,20/03/2019 02:51,,,,Departure,,,1,vesseltracker,,,,,1925755,,10,563040619,SUN 58,
